domain,macro_avg,plan_acc,plan_n,search_acc,search_n,compress_acc,compress_n,write_acc,write_n
Career,0.5,0.667,12,0.333,12,0.333,12,0.667,12
Creative,0.562,0.75,12,0.5,12,0.5,12,0.5,12
Education,0.958,0.917,12,1,12,0.917,12,1,12
Finance,0.562,0.667,12,0.333,12,0.417,12,0.833,12
Health,0.792,0.917,12,0.583,12,0.667,12,1,12
Law,0.75,0.833,12,0.583,12,0.75,12,0.833,12
Parenting,0.729,0.917,12,0.5,12,0.75,12,0.75,12
Real Estate,0.458,0.5,12,0.333,12,0.333,12,0.667,12
Shopping,0.792,0.917,12,0.667,12,0.667,12,0.917,12
Travel,0.771,1,12,0.667,12,0.583,12,0.833,12
