gt_userid,predicted_userid,stage,errors
User12,User10,search,3
User10,User18,plan,2
User10,User18,search,2
User10,User22,compress,2
User11,User10,search,2
User13,User18,search,2
User14,User13,search,2
User14,User20,compress,2
User17,User10,compress,2
User17,User10,search,2
User18,User10,search,2
User18,User10,write,2
User19,User10,search,2
User1,User4,search,1
User10,User16,search,1
User10,User18,compress,1
User10,User18,write,1
User11,User10,compress,1
User12,User10,compress,1
User12,User10,plan,1
User12,User16,plan,1
User12,User8,search,1
User13,User14,compress,1
User13,User14,plan,1
User13,User14,write,1
User13,User15,plan,1
User13,User15,search,1
User13,User18,compress,1
User13,User20,compress,1
User14,User15,search,1
User14,User20,plan,1
User14,User20,search,1
User15,User18,compress,1
User17,User10,write,1
User17,User16,plan,1
User17,User25,compress,1
User17,User25,search,1
User18,User10,plan,1
User18,User8,compress,1
User18,User8,search,1
User19,User10,compress,1
User19,User16,plan,1
User19,User18,compress,1
User19,User18,plan,1
User19,User18,write,1
User2,User1,compress,1
User2,User1,search,1
User2,User1,write,1
User2,User7,plan,1
User20,User13,plan,1
User21,User10,compress,1
User21,User8,search,1
User22,User10,search,1
User3,User1,compress,1
User5,User2,compress,1
User5,User2,plan,1
User5,User2,search,1
User5,User4,write,1
User8,User18,compress,1
User8,User18,plan,1
User8,User18,search,1
User8,User18,write,1
User9,User11,compress,1
User9,User11,search,1
User9,User12,search,1
