policy,stage,correct,n,accuracy
all_matched,plan,45,60,0.75
all_matched,search,28,60,0.466667
all_matched,compress,37,60,0.616667
all_matched,write,51,60,0.85
success_criteria_met,plan,34,43,0.790698
success_criteria_met,search,21,43,0.488372
success_criteria_met,compress,27,43,0.627907
success_criteria_met,write,37,43,0.860465
no_completeness_errors,plan,35,44,0.795455
no_completeness_errors,search,22,44,0.5
no_completeness_errors,compress,28,44,0.636364
no_completeness_errors,write,38,44,0.863636
no_ledger_errors,plan,44,59,0.745763
no_ledger_errors,search,27,59,0.457627
no_ledger_errors,compress,36,59,0.610169
no_ledger_errors,write,50,59,0.847458
