policy,stage,correct,n,accuracy
all_matched,plan,97,120,0.808333
all_matched,search,66,120,0.55
all_matched,compress,71,120,0.591667
all_matched,write,96,120,0.8
success_criteria_met,plan,74,90,0.822222
success_criteria_met,search,51,90,0.566667
success_criteria_met,compress,55,90,0.611111
success_criteria_met,write,73,90,0.811111
no_completeness_errors,plan,75,91,0.824176
no_completeness_errors,search,52,91,0.571429
no_completeness_errors,compress,56,91,0.615385
no_completeness_errors,write,74,91,0.813187
no_ledger_errors,plan,96,119,0.806723
no_ledger_errors,search,65,119,0.546218
no_ledger_errors,compress,70,119,0.588235
no_ledger_errors,write,95,119,0.798319
