gt_userid,predicted_userid,stage,errors
User18,User11,compress,2
User18,User11,search,2
User1,User11,compress,1
User1,User11,plan,1
User1,User11,search,1
User1,User11,write,1
User10,User12,compress,1
User10,User12,search,1
User10,User13,plan,1
User10,User13,search,1
User10,User18,plan,1
User10,User18,search,1
User10,User18,write,1
User11,User13,compress,1
User11,User13,search,1
User11,User18,plan,1
User12,User13,compress,1
User12,User13,search,1
User13,User10,compress,1
User13,User10,search,1
User13,User10,write,1
User13,User12,compress,1
User13,User12,plan,1
User13,User12,search,1
User13,User14,plan,1
User13,User18,plan,1
User14,User13,compress,1
User14,User18,compress,1
User14,User18,search,1
User14,User20,plan,1
User14,User22,compress,1
User14,User22,search,1
User17,User10,search,1
User17,User12,compress,1
User17,User12,plan,1
User17,User12,search,1
User17,User12,write,1
User17,User13,compress,1
User17,User13,write,1
User17,User16,search,1
User17,User16,write,1
User18,User10,plan,1
User18,User10,search,1
User18,User10,write,1
User18,User11,plan,1
User18,User11,write,1
User18,User13,compress,1
User18,User13,search,1
User18,User13,write,1
User19,User10,plan,1
User19,User10,write,1
User19,User12,compress,1
User19,User12,plan,1
User19,User12,search,1
User19,User18,compress,1
User19,User18,search,1
User2,User13,search,1
User2,User14,compress,1
User2,User14,plan,1
User2,User14,write,1
User20,User14,plan,1
User20,User14,search,1
User20,User8,compress,1
User22,User10,search,1
User5,User2,compress,1
User5,User2,search,1
User8,User14,plan,1
User8,User20,search,1
User8,User20,write,1
User9,User2,compress,1
User9,User2,search,1
User9,User21,compress,1
