policy,stage,correct,n,accuracy
all_matched,plan,44,60,0.733333
all_matched,search,35,60,0.583333
all_matched,compress,39,60,0.65
all_matched,write,48,60,0.8
success_criteria_met,plan,35,43,0.813953
success_criteria_met,search,28,43,0.651163
success_criteria_met,compress,29,43,0.674419
success_criteria_met,write,36,43,0.837209
no_completeness_errors,plan,36,44,0.818182
no_completeness_errors,search,29,44,0.659091
no_completeness_errors,compress,30,44,0.681818
no_completeness_errors,write,37,44,0.840909
no_ledger_errors,plan,43,59,0.728814
no_ledger_errors,search,34,59,0.576271
no_ledger_errors,compress,38,59,0.644068
no_ledger_errors,write,47,59,0.79661
