gt_userid,predicted_userid,stage,errors
User18,User10,search,6
User12,User10,plan,4
User14,User13,search,4
User17,User10,search,4
User18,User10,compress,4
User18,User10,write,4
User18,User8,compress,4
User19,User10,search,4
User12,User10,compress,3
User12,User10,search,3
User14,User20,plan,3
User14,User20,search,3
User17,User10,compress,3
User17,User10,write,3
User18,User10,plan,3
User19,User10,compress,3
User1,User4,compress,2
User10,User16,compress,2
User10,User18,compress,2
User10,User18,write,2
User10,User8,search,2
User11,User10,compress,2
User11,User10,search,2
User12,User10,write,2
User13,User14,compress,2
User13,User14,plan,2
User13,User14,search,2
User13,User14,write,2
User14,User13,write,2
User14,User20,compress,2
User17,User10,plan,2
User17,User25,compress,2
User17,User25,search,2
User17,User25,write,2
User18,User8,search,2
User19,User18,plan,2
User2,User1,compress,2
User2,User1,search,2
User2,User7,plan,2
User22,User10,compress,2
User22,User10,search,2
User5,User2,plan,2
User5,User2,search,2
User8,User10,write,2
User9,User11,compress,2
User9,User11,plan,2
User9,User12,compress,2
User9,User12,search,2
User1,User4,search,1
User1,User4,write,1
User10,User16,search,1
User10,User18,plan,1
User10,User18,search,1
User10,User22,compress,1
User10,User8,plan,1
User11,User8,plan,1
User13,User20,compress,1
User14,User13,compress,1
User14,User13,plan,1
User16,User10,compress,1
User17,User16,plan,1
User17,User16,write,1
User19,User10,write,1
User19,User16,plan,1
User19,User18,compress,1
User19,User18,search,1
User19,User18,write,1
User2,User1,write,1
User2,User7,search,1
User2,User7,write,1
User20,User13,compress,1
User20,User13,plan,1
User20,User13,search,1
User20,User14,compress,1
User20,User14,search,1
User21,User8,plan,1
User3,User1,plan,1
User3,User5,compress,1
User3,User5,search,1
User5,User2,compress,1
User7,User2,compress,1
User7,User2,search,1
User8,User10,compress,1
User8,User10,plan,1
User8,User10,search,1
User8,User18,compress,1
User8,User18,plan,1
User8,User18,search,1
User9,User12,write,1
