policy,stage,correct,n,accuracy
all_matched,plan,87,120,0.725
all_matched,search,67,120,0.558333
all_matched,compress,69,120,0.575
all_matched,write,94,120,0.783333
success_criteria_met,plan,66,90,0.733333
success_criteria_met,search,52,90,0.577778
success_criteria_met,compress,54,90,0.6
success_criteria_met,write,72,90,0.8
no_completeness_errors,plan,67,91,0.736264
no_completeness_errors,search,53,91,0.582418
no_completeness_errors,compress,55,91,0.604396
no_completeness_errors,write,73,91,0.802198
no_ledger_errors,plan,86,119,0.722689
no_ledger_errors,search,66,119,0.554622
no_ledger_errors,compress,68,119,0.571429
no_ledger_errors,write,93,119,0.781513
