run_id,gt,taskid,seed,domain,n_queries,search_correct,mean_query_chars,unique_query_tokens,generic_hit_rate,sim_persona_brief,sim_persona_query,sim_brief_query,sim_actionable_brief,sim_actionable_query,drop_persona_brief_to_query,drop_actionable_brief_to_query
pilot_task12_User2_seed0,User2,12,0,Health,22,True,60.40909090909091,95,0.0,0.2396097183227539,0.24915145337581635,0.5893189311027527,0.35564905405044556,0.39038801193237305,-0.009541735053062439,-0.03473895788192749
pilot_task12_User2_seed1,User2,12,1,Health,39,True,66.58974358974359,124,0.10256410256410256,0.22724640369415283,0.21930915117263794,0.5310651063919067,0.3651929497718811,0.35673436522483826,0.007937252521514893,0.008458584547042847
pilot_task12_User5_seed0,User5,12,0,Health,29,False,47.241379310344826,76,0.5517241379310345,0.2930085062980652,0.11539429426193237,0.4837591052055359,0.2791593074798584,0.23568254709243774,0.1776142120361328,0.043476760387420654
pilot_task12_User5_seed1,User5,12,1,Health,22,False,64.36363636363636,87,0.0,0.13547587394714355,0.19343802332878113,0.5777448415756226,0.23658597469329834,0.2897728979587555,-0.05796214938163757,-0.05318692326545715
pilot_task12_User9_seed0,User9,12,0,Health,30,True,64.36666666666666,99,0.0,0.17408205568790436,0.16431252658367157,0.498958021402359,0.32746249437332153,0.3961043357849121,0.009769529104232788,-0.06864184141159058
pilot_task12_User9_seed1,User9,12,1,Health,23,True,40.0,65,0.0,0.23774325847625732,0.29561734199523926,0.4232708513736725,0.29890966415405273,0.28160813450813293,-0.057874083518981934,0.0173015296459198
pilot_task14_User14_seed0,User14,14,0,Health,8,False,69.375,51,0.0,0.1070719063282013,-0.09680332243442535,0.6234861016273499,0.21117746829986572,0.24968621134757996,0.20387522876262665,-0.03850874304771423
pilot_task14_User14_seed1,User14,14,1,Health,4,False,58.5,24,0.0,0.009054424241185188,0.007458362728357315,0.615444540977478,0.23251616954803467,0.15197692811489105,0.0015960615128278732,0.08053924143314362
pilot_task14_User22_seed0,User22,14,0,Health,15,True,75.93333333333334,78,0.0,-0.017223291099071503,0.03612198308110237,0.6922141313552856,0.24397817254066467,0.40606123208999634,-0.053345274180173874,-0.16208305954933167
pilot_task14_User22_seed1,User22,14,1,Health,27,True,60.55555555555556,103,0.0,-0.010333968326449394,0.008075537160038948,0.6821789145469666,0.1584392786026001,0.3210361897945404,-0.018409505486488342,-0.1625969111919403
pilot_task14_User3_seed0,User3,14,0,Health,6,True,59.166666666666664,37,0.0,0.08010715991258621,0.01373162679374218,0.6503250598907471,0.23361632227897644,0.32127851247787476,0.06637553311884403,-0.08766219019889832
pilot_task14_User3_seed1,User3,14,1,Health,23,False,63.391304347826086,87,0.043478260869565216,-0.02212931588292122,-0.030796824023127556,0.6502670645713806,0.21129056811332703,0.35034438967704773,0.008667508140206337,-0.1390538215637207
pilot_task17_User10_seed0,User10,17,0,Travel,34,True,71.0,120,0.0,0.361158162355423,0.38755810260772705,0.5119380950927734,0.28127342462539673,0.27444109320640564,-0.026399940252304077,0.006832331418991089
pilot_task17_User10_seed1,User10,17,1,Travel,29,True,52.03448275862069,72,0.0,0.4077715575695038,0.32384955883026123,0.534419596195221,0.3233901858329773,0.3245932161808014,0.08392199873924255,-0.0012030303478240967
pilot_task17_User16_seed0,User16,17,0,Travel,27,True,59.81481481481482,81,0.07407407407407407,0.287778377532959,0.26924943923950195,0.4824082553386688,0.3403736352920532,0.2832561731338501,0.01852893829345703,0.057117462158203125
pilot_task17_User16_seed1,User16,17,1,Travel,29,True,72.34482758620689,106,0.0,0.16915272176265717,0.2599887251853943,0.47488731145858765,0.28901174664497375,0.34635937213897705,-0.09083600342273712,-0.057347625494003296
pilot_task17_User17_seed0,User17,17,0,Travel,30,False,63.63333333333333,64,0.03333333333333333,0.30815181136131287,0.3827919363975525,0.4079657793045044,0.25552505254745483,0.11955595016479492,-0.07464012503623962,0.1359691023826599
pilot_task17_User17_seed1,User17,17,1,Travel,29,False,52.724137931034484,57,0.0,0.24980168044567108,0.33540111780166626,0.371902197599411,0.268197238445282,0.09540089964866638,-0.08559943735599518,0.1727963387966156
pilot_task18_User10_seed0,User10,18,0,Travel,40,True,66.35,113,0.0,0.29561689496040344,0.17162162065505981,0.5820785164833069,0.19731734693050385,0.1784082055091858,0.12399527430534363,0.018909141421318054
pilot_task18_User10_seed1,User10,18,1,Travel,37,True,53.16216216216216,89,0.0,0.2583153247833252,0.2189575433731079,0.6026685237884521,0.20689657330513,0.17527033388614655,0.039357781410217285,0.03162623941898346
pilot_task18_User19_seed0,User19,18,0,Travel,35,True,50.4,90,0.0,0.2730313539505005,0.1987764537334442,0.6831142902374268,0.2011037915945053,0.14305362105369568,0.07425490021705627,0.05805017054080963
pilot_task18_User19_seed1,User19,18,1,Travel,18,True,71.11111111111111,82,0.0,0.24522732198238373,0.21474292874336243,0.6672096252441406,0.19726760685443878,0.27011609077453613,0.0304843932390213,-0.07284848392009735
