policy,stage,correct,n,accuracy
all_matched,plan,88,120,0.733333
all_matched,search,65,120,0.541667
all_matched,compress,73,120,0.608333
all_matched,write,85,120,0.708333
success_criteria_met,plan,69,90,0.766667
success_criteria_met,search,51,90,0.566667
success_criteria_met,compress,58,90,0.644444
success_criteria_met,write,68,90,0.755556
no_completeness_errors,plan,70,91,0.769231
no_completeness_errors,search,52,91,0.571429
no_completeness_errors,compress,59,91,0.648352
no_completeness_errors,write,69,91,0.758242
no_ledger_errors,plan,87,119,0.731092
no_ledger_errors,search,64,119,0.537815
no_ledger_errors,compress,72,119,0.605042
no_ledger_errors,write,84,119,0.705882
