taskid,personas,queries_within_cross_seed,queries_between_same_seed,queries_within_minus_between,queries_within_pairs,queries_between_pairs,urls_within_cross_seed,urls_between_same_seed,urls_within_minus_between,urls_within_pairs,urls_between_pairs
2,3,0.0,0.0,0.0,3,6,0.0,0.0,0.0,3,6
4,3,0.0,0.0,0.0,3,6,0.07234081372012406,0.011494252873563218,0.06084656084656084,3,6
7,3,0.0,0.0,0.0,3,6,0.023809523809523808,0.023399014778325122,0.00041050903119868587,3,6
9,3,0.0,0.0,0.0,3,6,0.035303776683087026,0.023399014778325122,0.011904761904761904,3,6
12,3,0.0,0.0,0.0,3,6,0.035303776683087026,0.005747126436781609,0.029556650246305417,3,6
14,3,0.0,0.0,0.0,3,6,0.08016058016058016,0.07629120879120879,0.0038693713693713633,3,6
17,3,0.0,0.0,0.0,3,6,0.011494252873563218,0.0,0.011494252873563218,3,6
18,3,0.0,0.0,0.0,3,6,0.046798029556650245,0.03713527851458886,0.009662751042061386,3,6
22,3,0.0,0.0,0.0,3,6,0.037037037037037035,0.0,0.037037037037037035,3,6
24,3,0.0,0.0,0.0,3,6,0.1426400759734093,0.15249118165784833,-0.009851105684439032,3,6
27,3,0.0,0.0,0.0,3,6,0.011494252873563218,0.011904761904761904,-0.00041050903119868587,3,6
29,3,0.0,0.0,0.0,3,6,0.04853128991060025,0.04288240495137047,0.005648884959229786,3,6
32,3,0.0,0.0,0.0,3,6,0.0,0.011494252873563218,-0.011494252873563218,3,6
33,3,0.0,0.0,0.0,3,6,0.011494252873563218,0.005747126436781609,0.005747126436781609,3,6
37,3,0.0,0.0,0.0,3,6,0.054972513743128434,0.005747126436781609,0.049225387306346825,3,6
38,3,0.0,0.0,0.0,3,6,0.035303776683087026,0.0,0.035303776683087026,3,6
42,3,0.0,0.0,0.0,3,6,0.06002554278416347,0.06084656084656084,-0.0008210180623973717,3,6
43,3,0.0,0.0,0.0,3,6,0.1027763041556145,0.11518111518111518,-0.012404811025500673,3,6
47,3,0.0,0.0,0.0,3,6,0.035303776683087026,0.06334610472541508,-0.02804232804232805,3,6
48,3,0.0,0.0,0.0,3,6,0.0,0.029556650246305417,-0.029556650246305417,3,6
